IPO name,Price,GMP,Listed,GMP Price,Diff,Diff pct,Profit,GMP predicted profit pc,Actual profit pct
IRFC,26.00 ,0.50 ,25.00 ,26.50 ,(1.50),(6.00),(1.00),1.92 ,(3.85)
Barbeque Nation,500.00 ,0.00 ,482.00 ,500.00 ,(18.00),(3.73),(18.00),0.00 ,(3.60)
Tamilnad Mercantile Bank,510.00 ,15.00 ,495.00 ,525.00 ,(30.00),(6.06),(15.00),2.94 ,(2.94)
Fusion Micro Finance,368.00 ,5.00 ,360.00 ,373.00 ,(13.00),(3.61),(8.00),1.36 ,(2.17)
Fedbank Financial Services,140.00 ,0.00 ,138.00 ,140.00 ,(2.00),(1.45),(2.00),0.00 ,(1.43)
Adani Wilmar,230.00 ,30.00 ,227.00 ,260.00 ,(33.00),(14.54),(3.00),13.04 ,(1.30)
Five Star Business Finance,474.00 ,0.00 ,468.00 ,474.00 ,(6.00),(1.28),(6.00),0.00 ,(1.27)
Elin Electronics,247.00 ,0.00 ,244.00 ,247.00 ,(3.00),(1.23),(3.00),0.00 ,(1.21)
Uniparts India,577.00 ,40.00 ,575.00 ,617.00 ,(42.00),(7.30),(2.00),6.93 ,(0.35)
DCX Systems,207.00 ,85.00 ,207.00 ,292.00 ,(85.00),(41.06),0.00 ,41.06 ,0.00 
SJS Enterprises,542.00 ,60.00 ,542.00 ,602.00 ,(60.00),(11.07),0.00 ,11.07 ,0.00 
Zaggle Prepaid Ocean Services,164.00 ,15.00 ,164.00 ,179.00 ,(15.00),(9.15),0.00 ,9.15 ,0.00 
Protean eGov Technologies,792.00 ,40.00 ,792.00 ,832.00 ,(40.00),(5.05),0.00 ,5.05 ,0.00 
Manoj Vaibhav Gems,215.00 ,10.00 ,215.00 ,225.00 ,(10.00),(4.65),0.00 ,4.65 ,0.00 
AGS Transact,175.00 ,5.00 ,175.00 ,180.00 ,(5.00),(2.86),0.00 ,2.86 ,0.00 
Avalon Technologies,436.00 ,10.00 ,436.00 ,446.00 ,(10.00),(2.29),0.00 ,2.29 ,0.00 
Aditya Birla AMC,712.00 ,25.00 ,715.00 ,737.00 ,(22.00),(3.08),3.00 ,3.51 ,0.42 
Abans Holdings,270.00 ,0.00 ,273.00 ,270.00 ,3.00 ,1.10 ,3.00 ,0.00 ,1.11 
